match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,team1_score,team2_score,team1_wickets,team2_wickets,first_innings_score,second_innings_score
55,2008,Mohali,2008-04-14,RR,PBKS,PBKS,field,normal,N,RR,7,5,RR_Player_7,Mohali,176,169,5,9,176,169
56,2008,Chennai,2008-04-30,MI,PBKS,MI,bat,normal,N,MI,17,1,MI_Player_10,Chennai,145,128,9,8,145,128
57,2008,Mumbai,2008-04-17,DC,KKR,DC,field,normal,N,KKR,2,0,KKR_Player_8,Mumbai,162,164,9,10,164,162
58,2008,Lucknow,2008-04-06,CSK,RR,RR,field,normal,N,CSK,33,3,CSK_Player_5,Lucknow,173,140,7,8,173,140
59,2008,Kolkata,2008-04-04,RR,RCB,RCB,bat,normal,Y,RR,6,6,RR_Player_11,Kolkata,129,123,4,6,129,123
60,2009,Johannesburg,2009-04-04,RR,PBKS,RR,field,normal,N,PBKS,5,6,PBKS_Player_6,Johannesburg,186,191,8,4,191,186
61,2009,Johannesburg,2009-04-01,KKR,CSK,CSK,bat,normal,N,KKR,36,3,KKR_Player_3,Johannesburg,176,140,7,5,176,140
62,2009,Cape Town,2009-04-06,DC,DEC,DEC,field,normal,N,DC,17,7,DC_Player_8,Cape Town,152,135,3,5,152,135
63,2009,Johannesburg,2009-04-28,DC,PBKS,PBKS,field,normal,N,PBKS,35,0,PBKS_Player_6,Johannesburg,162,197,3,10,162,197
64,2009,Durban,2009-04-25,CSK,RR,RR,field,normal,N,RR,4,3,RR_Player_10,Durban,147,151,3,7,147,151
65,2009,Durban,2009-04-19,DC,PBKS,DC,field,normal,N,DC,14,3,DC_Player_8,Durban,163,149,7,10,149,163
66,2009,Durban,2009-04-25,PBKS,RCB,RCB,field,normal,N,PBKS,27,4,PBKS_Player_6,Durban,159,132,6,7,159,132
67,2009,Port Elizabeth,2009-04-13,RCB,DEC,RCB,bat,normal,N,RCB,38,3,RCB_Player_4,Port Elizabeth,202,164,7,9,202,164
68,2009,Port Elizabeth,2009-04-05,DEC,DC,DEC,bat,normal,N,DC,4,5,DC_Player_11,Port Elizabeth,172,176,4,5,172,176
69,2009,Cape Town,2009-04-12,DEC,RR,RR,bat,normal,N,DEC,15,0,DEC_Player_11,Cape Town,162,147,10,6,162,147
70,2009,Centurion,2009-04-11,DC,RR,RR,field,normal,N,DC,14,0,DC_Player_6,Centurion,171,157,10,3,171,157
71,2009,Port Elizabeth,2009-04-21,DC,MI,MI,bat,normal,N,DC,15,3,DC_Player_9,Port Elizabeth,161,146,7,9,161,146
72,2009,Centurion,2009-04-17,CSK,RR,RR,bat,normal,N,RR,18,6,RR_Player_11,Centurion,169,187,5,4,169,187
73,2009,Durban,2009-04-17,KKR,RCB,KKR,bat,normal,N,KKR,26,4,KKR_Player_5,Durban,177,151,6,4,177,151
74,2009,Centurion,2009-04-27,CSK,MI,MI,bat,normal,N,CSK,13,2,CSK_Player_3,Centurion,160,147,8,9,160,147
75,2009,Port Elizabeth,2009-04-04,CSK,RR,CSK,field,normal,N,RR,18,2,RR_Player_3,Port Elizabeth,110,128,8,8,128,110
76,2009,Port Elizabeth,2009-04-29,PBKS,DEC,PBKS,bat,normal,N,DEC,28,6,DEC_Player_7,Port Elizabeth,146,174,10,4,146,174
77,2009,Johannesburg,2009-04-02,PBKS,RCB,RCB,bat,normal,N,RCB,19,4,RCB_Player_8,Johannesburg,153,172,3,6,153,172
78,2009,Durban,2009-04-19,DEC,KKR,KKR,field,normal,N,KKR,7,1,KKR_Player_5,Durban,167,174,3,9,167,174
79,2009,Durban,2009-04-05,KKR,RR,RR,field,normal,N,RR,3,1,RR_Player_4,Durban,170,173,9,9,170,173
80,2009,Johannesburg,2009-04-18,MI,RR,RR,bat,normal,N,RR,27,1,RR_Player_1,Johannesburg,136,163,8,9,136,163
81,2009,Johannesburg,2009-04-05,DEC,MI,DEC,bat,normal,Y,MI,29,6,MI_Player_7,Johannesburg,147,176,7,4,147,176
82,2009,Cape Town,2009-04-21,DEC,DC,DC,field,normal,N,DEC,23,3,DEC_Player_6,Cape Town,184,161,7,4,184,161
83,2009,Durban,2009-04-28,DEC,MI,MI,field,normal,N,MI,26,0,MI_Player_2,Durban,137,163,8,10,137,163
84,2009,Johannesburg,2009-04-22,RCB,RR,RR,field,normal,N,RCB,27,1,RCB_Player_3,Johannesburg,157,130,9,10,157,130
85,2009,Port Elizabeth,2009-04-26,DEC,CSK,CSK,bat,normal,N,DEC,13,5,DEC_Player_9,Port Elizabeth,153,140,5,4,153,140
86,2009,Johannesburg,2009-04-30,CSK,MI,CSK,field,normal,Y,MI,5,4,MI_Player_3,Johannesburg,150,155,6,6,155,150
87,2009,Centurion,2009-04-19,RCB,RR,RR,field,normal,N,RR,12,0,RR_Player_8,Centurion,160,172,8,10,160,172
88,2009,Port Elizabeth,2009-04-15,CSK,DEC,CSK,field,normal,N,CSK,26,7,CSK_Player_10,Port Elizabeth,166,140,3,7,140,166
89,2009,Johannesburg,2009-04-29,PBKS,MI,PBKS,field,normal,N,MI,8,5,MI_Player_7,Johannesburg,164,172,4,5,172,164
90,2009,Centurion,2009-04-11,PBKS,RCB,RCB,field,normal,N,RCB,13,5,RCB_Player_5,Centurion,163,176,4,5,163,176
91,2009,Centurion,2009-04-23,PBKS,DEC,DEC,field,normal,N,DEC,10,2,DEC_Player_2,Centurion,132,142,6,8,132,142
92,2009,Cape Town,2009-04-20,RR,RCB,RR,bat,normal,N,RCB,10,7,RCB_Player_7,Cape Town,191,201,8,3,191,201
93,2009,Johannesburg,2009-04-25,RCB,RR,RR,bat,normal,N,RCB,15,7,RCB_Player_1,Johannesburg,194,179,3,9,194,179
94,2009,Centurion,2009-04-25,RCB,MI,RCB,field,normal,N,RCB,11,2,RCB_Player_2,Centurion,171,160,8,7,160,171
95,2009,Centurion,2009-04-03,RCB,DC,RCB,field,normal,N,RCB,26,7,RCB_Player_10,Centurion,186,160,3,3,160,186
96,2009,Port Elizabeth,2009-04-24,DC,PBKS,DC,bat,normal,N,PBKS,35,6,PBKS_Player_1,Port Elizabeth,167,202,4,4,167,202
97,2009,Durban,2009-04-02,RR,DC,DC,field,normal,N,DC,29,5,DC_Player_9,Durban,133,162,3,5,133,162
98,2009,Johannesburg,2009-04-13,PBKS,CSK,PBKS,field,normal,N,PBKS,5,4,PBKS_Player_5,Johannesburg,157,152,6,10,152,157
99,2009,Port Elizabeth,2009-04-16,DEC,RR,DEC,field,normal,N,RR,1,0,RR_Player_3,Port Elizabeth,183,184,8,10,184,183
100,2009,Johannesburg,2009-04-11,RCB,KKR,KKR,field,normal,N,KKR,6,1,KKR_Player_5,Johannesburg,168,174,6,9,168,174
101,2009,Johannesburg,2009-04-02,RCB,DEC,RCB,bat,normal,N,RCB,2,2,RCB_Player_7,Johannesburg,160,158,8,7,160,158
102,2009,Durban,2009-04-29,CSK,MI,CSK,bat,normal,N,MI,41,6,MI_Player_5,Durban,155,196,10,4,155,196
103,2009,Centurion,2009-04-18,DEC,KKR,KKR,field,normal,N,DEC,22,6,DEC_Player_11,Centurion,169,147,4,10,169,147
104,2009,Port Elizabeth,2009-04-14,KKR,DC,KKR,bat,normal,N,DC,26,6,DC_Player_2,Port Elizabeth,109,135,9,4,109,135
105,2009,Centurion,2009-04-11,CSK,KKR,CSK,field,normal,N,KKR,15,4,KKR_Player_6,Centurion,155,170,8,6,170,155
106,2009,Johannesburg,2009-04-01,RR,KKR,KKR,field,normal,N,KKR,25,5,KKR_Player_11,Johannesburg,122,147,7,5,122,147
107,2009,Cape Town,2009-04-29,DC,RCB,RCB,field,normal,N,RCB,28,7,RCB_Player_1,Cape Town,162,190,8,3,162,190
108,2009,Durban,2009-04-30,RR,MI,MI,bat,normal,N,MI,20,1,MI_Player_9,Durban,136,156,8,9,136,156
109,2009,Johannesburg,2009-04-11,RR,KKR,KKR,field,normal,N,RR,21,6,RR_Player_8,Johannesburg,151,130,4,10,151,130
110,2009,Johannesburg,2009-04-19,DEC,DC,DC,field,normal,N,DEC,9,0,DEC_Player_6,Johannesburg,174,165,10,5,174,165
111,2009,Johannesburg,2009-04-01,KKR,CSK,CSK,bat,normal,N,CSK,18,7,CSK_Player_2,Johannesburg,152,170,6,3,152,170
112,2009,Port Elizabeth,2009-04-23,RR,CSK,RR,bat,normal,N,RR,18,1,RR_Player_10,Port Elizabeth,162,144,9,4,162,144
113,2009,Durban,2009-04-30,DC,RCB,DC,bat,normal,N,RCB,8,6,RCB_Player_4,Durban,144,152,10,4,144,152
114,2009,Durban,2009-04-12,KKR,DC,DC,field,normal,N,KKR,11,6,KKR_Player_7,Durban,164,153,4,8,164,153
115,2009,Port Elizabeth,2009-04-18,RCB,MI,RCB,field,normal,N,RCB,19,4,RCB_Player_6,Port Elizabeth,166,147,6,4,147,166
116,2009,Port Elizabeth,2009-04-30,DEC,CSK,DEC,field,normal,N,CSK,33,4,CSK_Player_1,Port Elizabeth,153,186,9,6,186,153
117,2009,Cape Town,2009-04-02,DC,KKR,DC,bat,normal,N,DC,21,6,DC_Player_4,Cape Town,162,141,4,10,162,141
118,2009,Centurion,2009-04-26,RR,DEC,DEC,field,normal,N,DEC,21,7,DEC_Player_3,Centurion,120,141,9,3,120,141
119,2010,Jaipur,2010-04-20,MI,DC,DC,field,normal,N,DC,14,1,DC_Player_9,Jaipur,159,173,10,9,159,173
120,2010,Delhi,2010-04-15,CSK,KKR,CSK,field,normal,N,CSK,24,4,CSK_Player_7,Delhi,146,122,6,7,122,146
121,2010,Lucknow,2010-04-25,RCB,PBKS,PBKS,bat,normal,N,RCB,8,5,RCB_Player_1,Lucknow,149,141,5,6,149,141
122,2010,Kolkata,2010-04-12,KKR,CSK,KKR,field,normal,N,CSK,28,1,CSK_Player_6,Kolkata,130,158,9,9,158,130
123,2010,Kolkata,2010-04-01,MI,PBKS,PBKS,bat,normal,N,PBKS,37,5,PBKS_Player_5,Kolkata,161,198,7,5,161,198
124,2010,Lucknow,2010-04-23,KKR,RR,RR,field,normal,N,KKR,24,1,KKR_Player_2,Lucknow,161,137,9,5,161,137
125,2010,Kolkata,2010-04-05,PBKS,RR,PBKS,bat,normal,N,PBKS,8,3,PBKS_Player_6,Kolkata,174,166,7,10,174,166
126,2010,Chennai,2010-04-08,CSK,DEC,CSK,field,normal,N,DEC,8,4,DEC_Player_11,Chennai,146,154,3,6,154,146
127,2010,Kolkata,2010-04-09,CSK,MI,CSK,field,normal,N,CSK,2,6,CSK_Player_6,Kolkata,183,181,4,10,181,183
128,2010,Ahmedabad,2010-04-02,DEC,DC,DEC,bat,normal,N,DEC,4,2,DEC_Player_6,Ahmedabad,178,174,8,5,178,174
129,2010,Ahmedabad,2010-04-19,PBKS,RCB,PBKS,field,normal,N,RCB,12,1,RCB_Player_5,Ahmedabad,172,184,4,9,184,172
130,2010,Ahmedabad,2010-04-03,CSK,MI,MI,bat,normal,N,CSK,10,6,CSK_Player_9,Ahmedabad,177,167,4,8,177,167
131,2010,Mohali,2010-04-14,DEC,MI,MI,field,normal,N,MI,11,1,MI_Player_6,Mohali,159,170,10,9,159,170
132,2010,Hyderabad,2010-04-19,PBKS,RCB,PBKS,field,normal,N,PBKS,4,3,PBKS_Player_6,Hyderabad,159,155,7,7,155,159
133,2010,Kolkata,2010-04-13,DEC,DC,DC,field,normal,N,DEC,30,6,DEC_Player_1,Kolkata,201,171,4,4,201,171
134,2010,Ahmedabad,2010-04-04,RR,RCB,RR,field,normal,N,RCB,42,6,RCB_Player_8,Ahmedabad,197,239,7,4,239,197
135,2010,Delhi,2010-04-24,PBKS,RR,PBKS,bat,normal,N,RR,26,1,RR_Player_10,Delhi,163,189,3,9,163,189
136,2010,Lucknow,2010-04-10,DEC,CSK,CSK,bat,normal,N,DEC,25,6,DEC_Player_4,Lucknow,168,143,4,5,168,143
137,2010,Chennai,2010-04-11,DC,DEC,DC,field,normal,N,DC,15,5,DC_Player_7,Chennai,168,153,5,6,153,168
138,2010,Ahmedabad,2010-04-24,RR,CSK,CSK,bat,normal,N,CSK,9,5,CSK_Player_7,Ahmedabad,188,197,3,5,188,197
139,2010,Bangalore,2010-04-28,KKR,MI,MI,field,normal,N,KKR,4,3,KKR_Player_2,Bangalore,156,152,7,3,156,152
140,2010,Hyderabad,2010-04-17,DEC,RR,RR,field,normal,N,RR,23,6,RR_Player_6,Hyderabad,120,143,6,4,120,143
141,2010,Jaipur,2010-04-23,RR,KKR,KKR,field,normal,N,RR,23,0,RR_Player_9,Jaipur,161,138,10,4,161,138
142,2010,Mumbai,2010-04-12,DEC,KKR,KKR,field,normal,N,DEC,5,4,DEC_Player_8,Mumbai,153,148,6,10,153,148
143,2010,Hyderabad,2010-04-01,KKR,PBKS,PBKS,bat,normal,N,PBKS,2,2,PBKS_Player_4,Hyderabad,154,156,7,8,154,156
144,2010,Chennai,2010-04-03,CSK,RR,RR,field,normal,N,RR,4,1,RR_Player_6,Chennai,131,135,4,9,131,135
145,2010,Delhi,2010-04-03,KKR,RR,RR,bat,normal,N,RR,24,2,RR_Player_6,Delhi,136,160,4,8,136,160
146,2010,Kolkata,2010-04-29,RR,CSK,RR,bat,normal,N,RR,10,7,RR_Player_9,Kolkata,147,137,3,4,147,137
147,2010,Kolkata,2010-04-08,PBKS,RR,PBKS,field,normal,N,RR,25,3,RR_Player_2,Kolkata,119,144,7,7,144,119
148,2010,Kolkata,2010-04-29,CSK,DEC,DEC,bat,normal,Y,DEC,20,3,DEC_Player_6,Kolkata,128,148,4,7,128,148
149,2010,Chennai,2010-04-15,KKR,DEC,KKR,bat,normal,N,DEC,18,1,DEC_Player_8,Chennai,129,147,7,9,129,147
150,2010,Bangalore,2010-04-17,CSK,KKR,CSK,bat,normal,N,KKR,4,1,KKR_Player_8,Bangalore,173,177,6,9,173,177
151,2010,Kolkata,2010-04-05,DC,KKR,KKR,field,normal,N,KKR,28,2,KKR_Player_7,Kolkata,129,157,8,8,129,157
152,2010,Hyderabad,2010-04-13,RR,DEC,DEC,bat,normal,Y,RR,24,1,RR_Player_1,Hyderabad,162,138,9,7,162,138
153,2010,Chennai,2010-04-21,DC,RR,DC,field,normal,N,RR,21,0,RR_Player_7,Chennai,133,154,6,10,154,133
154,2010,Kolkata,2010-04-09,MI,DC,DC,field,normal,N,DC,21,3,DC_Player_1,Kolkata,119,140,4,7,119,140
155,2010,Mohali,2010-04-23,CSK,MI,CSK,field,normal,N,MI,40,4,MI_Player_11,Mohali,171,211,7,6,211,171
156,2010,Delhi,2010-04-01,DEC,CSK,DEC,field,normal,N,CSK,8,1,CSK_Player_11,Delhi,161,169,3,9,169,161
157,2010,Mohali,2010-04-11,RCB,CSK,RCB,field,normal,N,RCB,19,1,RCB_Player_3,Mohali,170,151,9,5,151,170
158,2010,Hyderabad,2010-04-09,RR,PBKS,PBKS,bat,normal,N,RR,8,0,RR_Player_9,Hyderabad,158,150,10,10,158,150
159,2010,Chennai,2010-04-08,RCB,CSK,CSK,field,normal,N,RCB,10,3,RCB_Player_11,Chennai,190,180,7,6,190,180
160,2010,Hyderabad,2010-04-27,DEC,PBKS,PBKS,field,normal,N,PBKS,23,7,PBKS_Player_8,Hyderabad,124,147,3,3,124,147
161,2010,Lucknow,2010-04-07,CSK,RCB,RCB,bat,normal,N,CSK,21,5,CSK_Player_7,Lucknow,205,184,5,4,205,184
162,2010,Ahmedabad,2010-04-22,PBKS,MI,PBKS,field,normal,N,PBKS,12,0,PBKS_Player_6,Ahmedabad,180,168,10,5,168,180
163,2010,Delhi,2010-04-11,KKR,RR,KKR,bat,normal,N,RR,23,4,RR_Player_6,Delhi,171,194,10,6,171,194
164,2010,Mumbai,2010-04-26,DEC,RCB,DEC,bat,normal,Y,DEC,5,1,DEC_Player_10,Mumbai,166,161,9,10,166,161
165,2010,Mumbai,2010-04-27,KKR,RR,KKR,field,normal,N,RR,10,0,RR_Player_7,Mumbai,180,190,7,10,190,180
166,2010,Ahmedabad,2010-04-23,DEC,DC,DEC,field,normal,N,DEC,25,4,DEC_Player_3,Ahmedabad,165,140,6,5,140,165
167,2010,Bangalore,2010-04-07,DC,MI,MI,bat,normal,Y,DC,38,3,DC_Player_8,Bangalore,216,178,7,8,216,178
168,2010,Delhi,2010-04-23,RR,KKR,KKR,field,normal,N,RR,24,3,RR_Player_10,Delhi,155,131,7,10,155,131
169,2010,Mohali,2010-04-06,RR,MI,MI,field,normal,N,MI,22,3,MI_Player_10,Mohali,167,189,10,7,167,189
170,2010,Kolkata,2010-04-15,DEC,RCB,RCB,bat,normal,N,DEC,17,5,DEC_Player_11,Kolkata,149,132,5,6,149,132
171,2010,Delhi,2010-04-26,DC,CSK,DC,field,normal,N,DC,28,5,DC_Player_9,Delhi,168,140,5,9,140,168
172,2010,Ahmedabad,2010-04-19,KKR,RR,RR,bat,normal,N,RR,19,5,RR_Player_10,Ahmedabad,176,195,4,5,176,195
173,2010,Hyderabad,2010-04-22,KKR,CSK,KKR,field,normal,N,KKR,25,4,KKR_Player_9,Hyderabad,157,132,6,8,132,157
174,2010,Ahmedabad,2010-04-25,PBKS,KKR,KKR,field,normal,N,PBKS,16,2,PBKS_Player_10,Ahmedabad,185,169,8,9,185,169
175,2010,Ahmedabad,2010-04-24,DC,KKR,KKR,bat,normal,N,DC,27,1,DC_Player_2,Ahmedabad,211,184,9,8,211,184
176,2010,Mohali,2010-04-26,PBKS,DEC,PBKS,bat,normal,N,PBKS,18,3,PBKS_Player_7,Mohali,178,160,7,5,178,160
177,2010,Mumbai,2010-04-24,RCB,KKR,RCB,field,normal,N,RCB,22,1,RCB_Player_1,Mumbai,206,184,9,3,184,206
178,2010,Chennai,2010-04-02,KKR,MI,KKR,bat,normal,N,CSK,1,6,CSK_Player_5,Chennai,155,156,4,7,155,156
179,2011,Ahmedabad,2011-04-03,MI,RCB,RCB,field,normal,N,MI,6,4,MI_Player_10,Ahmedabad,164,158,6,5,164,158
180,2011,Mumbai,2011-04-08,PBKS,DC,DC,field,normal,N,PBKS,14,5,PBKS_Player_9,Mumbai,168,154,5,7,168,154
181,2011,Lucknow,2011-04-25,CSK,KTK,KTK,bat,normal,N,CSK,6,1,CSK_Player_7,Lucknow,161,155,9,6,161,155
182,2011,Bangalore,2011-04-15,DC,RCB,DC,bat,normal,N,RCB,21,1,RCB_Player_9,Bangalore,140,161,10,9,140,161
183,2011,Mohali,2011-04-01,MI,RCB,RCB,field,normal,N,RCB,18,0,RCB_Player_6,Mohali,144,162,5,10,144,162
184,2011,Jaipur,2011-04-14,KTK,DC,DC,field,normal,N,DC,32,4,DC_Player_11,Jaipur,184,216,3,6,184,216
185,2011,Mumbai,2011-04-20,PBKS,DC,PBKS,field,normal,N,PBKS,3,7,PBKS_Player_9,Mumbai,154,151,3,6,151,154
186,2011,Hyderabad,2011-04-21,RCB,RR,RR,field,normal,N,RCB,11,6,RCB_Player_9,Hyderabad,173,162,4,9,173,162
187,2011,Delhi,2011-04-11,RCB,DC,DC,field,normal,N,RCB,19,1,RCB_Player_10,Delhi,154,135,9,4,154,135
188,2011,Delhi,2011-04-28,CSK,RR,RR,field,normal,N,RR,2,0,RR_Player_8,Delhi,163,165,5,10,163,165
189,2011,Delhi,2011-04-03,PWI,KKR,KKR,field,normal,N,PWI,15,2,PWI_Player_5,Delhi,159,144,8,9,159,144
190,2011,Hyderabad,2011-04-23,KKR,PBKS,PBKS,field,normal,N,KKR,33,2,KKR_Player_11,Hyderabad,204,171,8,5,204,171
191,2011,Chennai,2011-04-08,KTK,RR,RR,bat,normal,N,KTK,27,4,KTK_Player_9,Chennai,152,125,6,3,152,125
192,2011,Lucknow,2011-04-27,RR,KTK,KTK,field,normal,N,RR,20,3,RR_Player_9,Lucknow,162,142,7,9,162,142
